date	1989	Beautiful Eyes (EP)	Evermore	Fearless	Fearless (Taylor's Version)	Folklore	Lover	Midnights	Red	Red (Taylor's Version)	Speak Now	Speak Now: World Tour Live CD + DVD	Taylor Swift	The Taylor Swift Holiday Collection (EP)	reputation
2006-11-11													19.0		
2006-11-18													37.0		
2006-11-25													62.0		
2006-12-02													79.0		
2006-12-09													69.0		
2006-12-16													70.0		
2006-12-23													70.0		
2006-12-30													67.0		
2007-01-06													65.0		
2007-01-13													55.0		
2007-01-20													63.0		
2007-01-27													46.0		
2007-02-03													42.0		
2007-02-10													42.0		
2007-02-17													55.0		
2007-02-24													46.0		
2007-03-03													46.0		
2007-03-10													36.0		
2007-03-17													24.0		
2007-03-24													28.0		
2007-03-31													30.0		
2007-04-07													34.0		
2007-04-14													40.0		
2007-04-21													34.0		
2007-04-28													33.0		
2007-05-05													22.0		
2007-05-12													21.0		
2007-05-19													21.0		
2007-05-26													15.0		
2007-06-02													13.0		
2007-06-09													16.0		
2007-06-16													15.0		
2007-06-23													21.0		
2007-06-30													24.0		
2007-07-07													18.0		
2007-07-14													19.0		
2007-07-21													18.0		
2007-07-28													21.0		
2007-08-04													15.0		
2007-08-11													13.0		
2007-08-18													13.0		
2007-08-25													16.0		
2007-09-01													17.0		
2007-09-08													16.0		
2007-09-15													15.0		
2007-09-22													13.0		
2007-09-29													23.0		
2007-10-06													34.0		
2007-10-13													37.0		
2007-10-20													34.0		
2007-10-27													33.0		
2007-11-03													31.0		
2007-11-10													26.0		
2007-11-17													26.0		
2007-11-24													8.0		
2007-12-01													16.0		
2007-12-08													13.0	88.0	
2007-12-15													12.0	46.0	
2007-12-22													9.0	96.0	
2007-12-29													8.0	129.0	
2008-01-05													8.0		
2008-01-12													8.0		
2008-01-19													5.0		
2008-01-26													5.0		
2008-02-02													6.0		
2008-02-09													6.0		
2008-02-16													9.0		
2008-02-23													10.0		
2008-03-01													7.0		
2008-03-08													10.0		
2008-03-15													12.0		
2008-03-22													9.0		
2008-03-29													12.0		
2008-04-05													8.0		
2008-04-12													14.0		
2008-04-19													16.0		
2008-04-26													13.0		
2008-05-03													10.0		
2008-05-10													9.0		
2008-05-17													11.0		
2008-05-24													11.0		
2008-05-31													11.0		
2008-06-07													12.0		
2008-06-14													12.0		
2008-06-21													15.0		
2008-06-28													16.0		
2008-07-05													19.0		
2008-07-12													14.0		
2008-07-19													17.0		
2008-07-26													14.0		
2008-08-02		9.0											12.0		
2008-08-09		10.0											12.0		
2008-08-16		16.0											13.0		
2008-08-23		24.0											16.0		
2008-08-30		27.0											11.0		
2008-09-06		36.0											15.0		
2008-09-13		53.0											24.0		
2008-09-20		64.0											25.0		
2008-09-27		81.0											24.0		
2008-10-04		104.0											25.0		
2008-10-11		130.0											32.0		
2008-10-18		156.0											36.0		
2008-10-25		152.0											39.0		
2008-11-01		155.0											31.0		
2008-11-08		162.0											29.0		
2008-11-15		199.0											34.0		
2008-11-22		168.0											26.0		
2008-11-29		138.0		1.0									21.0		
2008-12-06				4.0									40.0		
2008-12-13		179.0		2.0									29.0		
2008-12-20		162.0		2.0									32.0		
2008-12-27		174.0		1.0									28.0		
2009-01-03				1.0									25.0		
2009-01-10				1.0									26.0		
2009-01-17				1.0									36.0		
2009-01-24				1.0									27.0		
2009-01-31				1.0									26.0		
2009-02-07				1.0									32.0		
2009-02-14				2.0									33.0		
2009-02-21				4.0									32.0		
2009-02-28				1.0									38.0		
2009-03-07				1.0									41.0		
2009-03-14				1.0									41.0		
2009-03-21				2.0									35.0		
2009-03-28				5.0									36.0		
2009-04-04				6.0									29.0		
2009-04-11				12.0									39.0		
2009-04-18				10.0									38.0		
2009-04-25				6.0									21.0		
2009-05-02				10.0									35.0		
2009-05-09				11.0									46.0		
2009-05-16				9.0									49.0		
2009-05-23				7.0									48.0		
2009-05-30				7.0									46.0		
2009-06-06				11.0									48.0		
2009-06-13				9.0									40.0		
2009-06-20				10.0									36.0		
2009-06-27				11.0									36.0		
2009-07-04				10.0									46.0		
2009-07-11				11.0									39.0		
2009-07-18				11.0									44.0		
2009-07-25				8.0									38.0		
2009-08-01				9.0									44.0		
2009-08-08				9.0									38.0		
2009-08-15				9.0									36.0		
2009-08-22				9.0									39.0		
2009-08-29				9.0									46.0		
2009-09-05				8.0									45.0		
2009-09-12				9.0									54.0		
2009-09-19				9.0									47.0		
2009-09-26				10.0									48.0		
2009-10-03				8.0									45.0		
2009-10-10				13.0									53.0		
2009-10-17				19.0									67.0		
2009-10-24				17.0									71.0		
2009-10-31				7.0									59.0		
2009-11-07				7.0									60.0		
2009-11-14				3.0									58.0		
2009-11-21				6.0									53.0		
